Unnamed: 0,power_chiller,Energy_2,flow_chiller,Energy_1,t_out,t_chiller,Energy_3,Equip,light,temperature:drybulb,occ,Energy_4,energy_total
3378,359140.03,1661495.5,168.07915,163433.2,23.983334,12.0,171008.08,0.9312485,0.70453554,23.999544,0.9654407,122069.02,2118005.8
3379,361134.16,1672699.9,168.07915,164633.42,24.066668,12.0,172301.28,0.9312485,0.70453554,23.999546,0.9654407,122408.13,2132042.73
3380,363227.88,1684324.1,168.07915,165917.97,24.15,12.0,173697.48,0.9312485,0.70453554,23.999548,0.9654407,122747.37,2146686.92
3381,365889.3,1700291.5,168.07915,167309.58,24.233334,12.0,175258.08,0.9312485,0.70453554,23.99955,0.9654407,123088.08,2165947.24
3382,368555.16,1715262.1,168.07915,168727.95,24.316668,12.0,177129.6,0.9312485,0.70453554,23.999552,0.9654407,123430.62,2184550.27
3383,371348.25,1731141.0,168.07915,170158.89,24.4,12.0,179124.16,0.9312485,0.70453554,23.999554,0.9654407,123775.055,2204199.105
3384,357315.12,1644451.8,168.07915,161402.48,24.6,12.0,171283.58,0.82777643,0.62625384,23.999279,0.5081267,107809.34,2084947.2000000002
3385,356993.7,1656698.5,168.07915,162577.6,24.8,12.0,173321.61,0.82777643,0.62625384,23.999292,0.5081267,106738.46,2099336.17
3386,357422.22,1660537.5,168.07915,162956.69,25.0,12.0,174549.0,0.82777643,0.62625384,23.999382,0.5081267,105495.25,2103538.44
3387,356691.47,1657037.6,168.07915,162648.45,25.2,12.0,175052.11,0.82777643,0.62625384,23.99947,0.5081267,104371.48,2099109.64
3388,355604.12,1652151.9,168.07915,162164.16,25.4,12.0,175414.38,0.82777643,0.62625384,23.999538,0.5081267,103507.984,2093238.4239999999
3389,354828.7,1649795.1,168.07915,161897.4,25.6,12.0,175993.11,0.82777643,0.62625384,23.999584,0.5081267,102859.66,2090545.2699999998
3390,370971.5,1751477.4,168.07915,171867.56,25.866667,12.0,187279.19,0.9312485,0.70453554,23.999886,0.9654407,116908.06,2227532.21
